Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
2019-03-12,Italy bans unvaccinated children from school,Theresa May's Brexit deal suffers second defeat in UK Parliament,Boeing 737 MAX 8 aircraft banned from UK airspace,Woman human rights lawyer sentenced to 148 lashes and 33 years in prison in Iran,"Peru opened a military base in the Amazon in a bid to tackle illegal mining, the main culprit for deforestation in the world's largest rainforest. ""The government has taken the political decision to be present in this region to eradicate illegal mining,"" said Defense Minister Jose Huerta.","Greenpeace Calls BS After Trump Cites 'Paid Lobbyist' Masquerading as Co-Founder to Peddle Climate Denial: ""Patrick Moore was not a co-founder of Greenpeace. He does not represent Greenpeace,"" the group wrote",Mueller probe already financed through September,Philippines President Rodrigo Duterte Went to an Event Honoring Women. Then He Referred to Them as 'Bitches',Pilots have reported issues in US with new Boeing jet,"No More 'Business As Usual,' Russia Not A Strategic Partner, European Parliament Declares",Boeing crisis escalates as countries ground 737 MAX jets after two brand new planes of the same model crashed in the same conditions,Thousands of children will be handed a free pass out of school to attend climate change protests throughout Scotland on Friday,#Trashtag: an online challenge encouraging users to clean up places has seen tens of thousands of people doing just that.,European aviation regulator EASA suspends all Boeing 737 Max operations in Europe,"In fresh blow to Monsanto, India cuts GMO cotton seed royalty","Japan team edges closer to bringing mammoths back to life - Study confirms activity in nuclei from 28,000-year-old beast",Former Indian central bank governor and chief economist at the International Monetary Fund says Capitalism is in ‘grave danger’ as it has stopped providing for the masses,India Gets Its First Ever Hospital for Abused Elephants,"13 year-old posts video of his mom kicking and stomping his 6 year-old brother in the stomach on Twitter, gets her arrested after thousands of retweets (Japan)","Video footage from inside one of the reactors at a nuclear power station in Scotland has revealed over 350 hairline cracks in the bricks, meaning it may make it impossible to shut down in an emergency",Air Pollution Killing Millions More Than We Thought,Canadian province to ban cellphones from classrooms,Trump repeats false claim there is no climate change crisis as he brands science 'fake',Israeli court releases footage of soldiers beating detained Palestinians,U.S. to withdraw remaining embassy staff from Venezuela
2019-03-13,"UK:Man with epilepsy who couldn’t cook for himself, wash or travel alone denied disability benefits after appearing ‘well dressed’",Cardinal George Pell has been sentenced to six years in prison for the sexual abuse of two choir boys in the 1990s,Michael Cohen Has Email Showing Trump Obstructed Justice by Dangling Pardon,"School climate strikes go global, with actions planned in 92 countries",Canada grounds all Boeing 737-Max8 and Max9,"Saudi Arabia is prosecuting 10 women's rights activists, but it won't let people watch the trial, or even say what they did wrong","Iranian lawyer who defended women's right to remove hijab gets 38 years, 148 lashes","'A good day': New Zealand adds area half the size of Auckland to national park - Environmentalists ‘stoked’ by expansion they say will protect blue duck, native kaka bird, bats and giant land snails",Lion Air Plans to drop a $22 billion order for Boeing 737 Max and switch to rival Airbus,"Italy Begins to Enforce 'No Vaccine, No School' Policy After Deadline Expires",Italy outraged as court finds victim too ugly to be raped,Theresa May rejected a second referendum on leaving the EU,CIA implicated in attack on North Korean embassy in Madrid,"Man in China robs woman at ATM, returns money after seeing her bank balance","The Senate is expected to vote this week, perhaps even on Wednesday, to end America’s involvement in the Saudi Arabia-led war in Yemen — potentially rebuking President Donald Trump and forcing him to veto the measure.","Google knows where you live, work and your ‘secret interests’, new ‘Shadow Profile’ report says",Air Canada flight attendants’ union says crew don’t want to be forced to fly on Boeing 737 MAX 8. Airline had balked at calls to ground aircraft thus far.,Brazil’s president Jair Bolsonaro is facing growing calls to explain alleged links to paramilitary gangs after a photo emerged showing him with his arm around a murder suspect,A number of women's rights activists have gone on trial in Saudi Arabia in a case that has raised questions about the kingdom's human rights record.,"Pilots complained at least 5 times about Boeing 737 MAX problems, records show",Paul Manafort gets additional 43 months in second Mueller sentence after ex-Trump campaign boss says he's 'sorry',Boeing 737: Trump's government shutdown delayed fixes to airplane involved in multiple deadly crashes. Fatal Ethiopian Airlines crash follows multiple warnings from US pilots to Washington during shutdown of 'significantly reduced' oversight,MPs vote to reject no-deal Brexit 312-308,Ethiopia refuses to send black box from crashes Boeing 737 max 8 to America,Pompeo calls Russia’s invasion of Ukraine an attempt to control oil and gas reserves
2019-03-14,"Senate defies Trump, passes historic resolution to end US support for Saudi Arabia in Yemen war",US House passes resolution calling for Trump-Russia report to be made public,Brexit latest: MPs to vote on giving UK public second referendum,The European Commission has concluded that palm oil cultivation results in excessive deforestation and its use in transport fuel should be phased out.,"Russians may have laundered money through Trump Organization, president could be “compromised,” Schiff says",Boeing's value has sunk $27 billion since Ethiopian Air crash,"Rocket alerts blare in Tel Aviv, loud explosion reported.",Doctors warn Pete Evans to stick to cooking after sharing anti-vaxx podcast | Australia,"Johnny Depp was abused by ex-wife Amber Heard, new evidence shows","Russians Rally Against Plans for an ""Online Iron Curtain""",'I have no money - they don't give us food': ISIS bride who fled Melbourne to fight in Syria aged 19 and boasted she was 'thirsty for Australian blood' demands to be let back into the country,Russia mocks US collusion probe ahead of Mueller’s report: They say the whole process is about the Democrats’ stubborn refusal to admit that they lost the election.,US Department of State accuses Russia of violating human rights in Crimea,Growing Sentiment that the 4 Big Tech Companies are too Large,United Kingdom MPs vote to delay Brexit,Graham blocks resolution calling for Mueller report to be made public,China economy slows further as industrial output slumps to decade low,European Parliament votes to suspend Turkey's EU membership bid,China just overtook the US in global leadership approval,Boeing Faces a Possible Legal Nightmare With Airlines for the 737 MAX. Norwegian Air has already declared that it will demand compensation from Boeing for its grounded fleet of 737 MAXes and lost fares,Trump makes last-minute Brexit intervention 'after being lobbied by Nigel Farage',"Trump promised to win on trade, but instead faces a record-high deficit",Mike Pence Meets With Ireland’s First Openly Gay President,Saudi Arabia rejects call for international probe of journalist Jamal Khashoggi’s murder,Duterte says priests should be shot
2019-03-15,"Gunman opens fire at mosque in Christchurch, New Zealand","In solidarity with Muslims, New Zealand Jewish community shut synagogues on Shabbat for first time in history",Alleged New Zealand Mosque Mass Shooter’s Manifesto Praises Donald Trump As ‘Symbol Of Renewed White Identity’,Christchurch mosque shootings: Senator Fraser Anning lashes out at Muslims after Christchurch shootings: ‘They are the perpetrators’,"""We are a proud nation of more than 200 ethnicities, 160 languages, and amongst that diversity we share common values.. We were chosen because we represent diversity, you may have chosen us, but we utterly reject and condemn you."" - New Zealand prime Minster Jacinda Ardern","Australian Prime Minister confirms a perpetrator of the New Zealand mosque attack was Australian, and called them an extremist, right-wing, violent terrorist.",Privileged should try and create a better world': second-richest man in India gives $7.5 billion to his charitable foundation,"A Muslim worshipper, who was among the first people to be killed in New Zealand's worst ever mass shooting, appeared to say ""hello brother"" to the attacker just moments before he was shot dead","'No Planet B': Global youth demo for climate kicks off | Classrooms in capitals from Lagos to London are expected to be empty, as the ambitious organisers of the global student strike aim to stage 1,000 demos in more than 100 countries","New Zealand Mosque Shooter’s Motive is ‘Understandable,’ Trump 2016 Foreign Policy Adviser Tells Fox News",Grandfather killed in New Zealand attack after throwing himself in front of other worshippers,US to revoke visas for International Criminal Court staff,New Zealand Shooting: Trump Tweets Link to Islamophobic Website as Christchurch Terror Attack Was Underway,"Arctic now locked into devastating temperature rise, UN report says",Global warming: Children's climate strike spreads worldwide,House votes 420-0 for Mueller report to be made public,US official reveals Atlantic drilling plan while hailing Trump’s ability to distract public,"Washington, Warsaw discuss permanent U.S. military base in Poland",Stoltenberg: NATO again confirms chances for Ukraine to join alliance,'Disgusting': Morrison slams Senator's comments on Christchurch massacre,Australian students defy calls to stay in school to protest climate change,Youth will strike worldwide for climate action on Friday (Today),'Many more would have died': Hero mosque worker grabs NZ attacker's gun,A shadowy group trying to overthrow Kim Jong Un raided a North Korean embassy in broad daylight,According to the Prime Minister 40 people have died in the Christchurch terrorist attack
2019-03-16,Milo Yiannopoulos banned from entering Australia following Christchurch shooting comments,"At least 13 civilians, including 9 children and a village's lone doctor, were killed in an American airstrike in Naser Khil in eastern Afghanistan","NZ Attorny General: ""New Zealand to ban semi-automatic weapons""","‘No jobs on a dead planet’: Students around the world strike for more action on climate change | Friday’s rallies were one of the biggest international climate change actions yet, involving hundreds of thousands of students in more than 100 countries",Model To Be Key Witness In Upcoming Silvio Berlusconi Sex Trial Has Been Poisoned,India joins China banning imports of trash.Global recycling crisis shows West can’t use poorer countries as dumping grounds.,Argentinian doctors accused of subjecting 11-year-old girl to horrific ordeal in forcing her to have elderly rapist’s baby,Orangutan recovers after being shot with 74 airgun pellets in Indonesia,"Children are shaming parents for bad recycling habits, UK survey claims - One in six parents believe children know more about recycling than they do",U.S. Blocks U.N. Resolution on Geoengineering - The United States joined Saudi Arabia to derail a U.N. resolution that sought to improve the world’s understanding of potential efforts to lace the sky with sunlight-reflecting aerosols or use carbon-catching fans.,"When gunman advanced on New Zealand mosque, this man ran at him: Abdul Aziz, 48, is being hailed as a hero for preventing more deaths","Brazil's Bolsonaro to Ignore Constitution & Allow Mining on Indigenous Lands - The minister of mines wants to open the lands to mining without their consent. They plan to fight back. ""For us wealth is having health, land, a stable climate, a preserved culture, & respect for our community.""",London mosque attack: Men assault Muslim worshipper with 'batten and hammer' after shouting Islamophobic abuse,Teen who egged Frasser Anning released without charge. Hailed as hero,"'I'm no hero': Father, 48, caught up in Christchurch mosque massacre reveals how he grabbed killer's rifle and smashed his car window forcing him to flee - bringing to an end brutal rampage that left 49 dead",More people around the world see U.S. power and influence as a ‘major threat’ to their country,New Zealand Prime Minister Tells Trump to Show ‘Sympathy and Love for all Muslim Communities’,NZ will ban semi-automatic weapons.,New Zealand massacre: Tech giants told 'enough is enough' after shooting live-streamed in social media terror attack,Fraser Anning punches teen after being egged while speaking to media in Melbourne,Harvard University uncovers DNA switch that controls genes for whole-body regeneration,Naeem Rashid hailed a hero after losing his life charging at the NZ gunman,Report: Ex-Putin adviser who died in US had broken neck,Palestinian self-immolates on 3rd day of Gaza protests against Hamas,Man attacked with hammer outside of London mosque hours after New Zealand shooting
2019-03-17,New Zealand shooting: Australian leader sides with teen who egged anti-Muslim senator,"A petition calling for the removal of Senator Fraser Anning from parliament over his response to the NZ mosque terrorist attacks, has received over 800K signatures, the most in Australian history.",New Zealand pulls Murdoch’s Sky News Australia off the air over mosque massacre coverage,Dutch PM compares Theresa May to Monty Python limbless knight,"New Zealand man, 22, arrested for allegedly distributing video of mosque shootings",Pakistan to posthumously recognize Naeem Rashid with ‘National Award’ for his act of valour of tackling NZ terrorist.,"Brexit: 'Physically impossible' to leave on 29 March, says chancellor",Newly released documents show that a former adviser to Vladimir Putin sustained a complete fracture of his neck “at or near the time of his death” in a Washington hotel room in 2015.,Ethiopian Airlines black boxes showed 'clear similarities' with Lion Air crash: ministry,The stabbing of a teenager in a Surrey village is being investigated as a terrorist incident inspired by the far right. Witnesses claimed the suspect shouted “kill a Muslim” and “white supremacy” and brandished a knife and a baseball bat before the Saturday night attack in Stanwell,"A devastating Arctic temperature rise that could submerge coastal cities and trigger species extinction is now locked in | According to a new report from the United Nations Environment Assembly, the Arctic is in even more dire straits than experts thought","Australia bans use of data from animal tests in cosmetics - Over 500,000 animals – mainly rabbits, guinea pigs, hamsters, rats & mice – suffer & die in cruel & outdated tests of cosmetic ingredients globally each year.",Australia to censure Senator Fraser Anning over 'ugly' New Zealand attack comments,"Paris luxury stores looted, burned in 'yellow vest' riots - Sharp increase in violence","Trump Has Touted Debunked Story About U.S. General Killing 49 Muslims To End Terrorism: Bullets were “dipped in pig’s blood,” he claimed, one of his many past comments under new scrutiny following the New Zealand attack.",US lobbies Switzerland to drop Chinese telecom giant Huawei,Chinese tech giant Huawei has developed its own operating system as a 'plan B' in case it's barred by the US government from using Google and Microsoft products,"Opt-out organ donation: Max and Keira's Bill passed into law - From 2020, adults in England will be considered potential donors unless they choose to opt out or are excluded.",Teenager who egged Australian Senator Fraser Anning speaks of being 'tackled by 30 bogans',Turkey: Being gay could cost you your job,White House Aide: It's Unfair to Call New Zealand Mosque Shooting Suspect a President Trump Supporter,U.N. official condemns Hamas crackdown on Gaza protests,Trump threatens 'Saturday Night Live' with federal investigation in Sunday morning tweet storm,"7 reporters held, 'brutally beaten' by Hamas for covering Gaza protests",A Christchurch insulation company is under fire for having a Nazi sign as its logo - the same symbol featured in a manifesto by Christchurch terror suspect Brenton Tarrant
2019-03-18,New Zealand's largest gun show canceled days after mass shooting,'Egg Boy' to donate money raised for him towards victims of Christchurch attack,Australian prime minister says far-right senator should be charged for punching ‘egg boy’,Utrecht shooting – multiple people injured as ‘anti-terror cops swoop’ on Dutch city,Over a million people have signed a petition calling for the removal of Australian politician Fraser Anning from parliament after he blamed immigration for the deadly terrorist attack at two New Zealand mosques.,Dutch shooting suspect has been arrested,‘New Zealand is not America:’ Citizens open to gun reform after massacre,Feds raided Trump fundraiser's office after megadonor allegedly tried to sell access to foreigners: Report,Theresa May banned from another commons vote on same Brexit deal,Christchurch terror attack: Kiwis begin to voluntarily return their semiautomatic rifles.,Erdogan shows NZ attack video at rallies,"7 reporters held, 'brutally beaten' by Hamas for covering Gaza protests",The Saudi hit squad linked to the Khashoggi murder reportedly asked for a performance-related bonus for torturing and kidnapping so many people,"Scientists reactivate cells from 28,000-year-old woolly mammoth. ""I was so moved when I saw the cells stir,"" said 90-year-old study co-author Akira Iritani. ""I'd been hoping for this for 20 years.""","After Years Of Abuse By Priests, #NunsToo Are Speaking Out : NPR","Nile shipwreck discovery proves Herodotus right – after 2,469 years",Dead Philippines whale had 40kg of plastic in stomach,The Rapid Decline Of The Natural World Is A Crisis Even Bigger Than Climate Change,Hundreds of mutilated dolphins caught by nets discovered piled up on beach in France.,"Stronger action urged against homeopathic products touted as alternatives to vaccines - 'It's nonsensical to have these products licensed by Health Canada,' doctor says",Protesters march on Italian monastery where Steve Bannon plans to train nationalist leaders,"It Wasn’t Just Khashoggi: A Saudi Prince’s Brutal Drive to Crush Dissent - Members of the team that killed Mr. Khashoggi, which American officials called the Saudi Rapid Intervention Group, were involved in at least a dozen operations starting in 2017, the officials said.",Suspect in Utrecht shooting identified as 37-old Turkish man - Dutch police,Christchurch mosque shootings: Major Kiwi companies set to pull ads from Facebook and Google,Sweden now grants refugee status to all Uyghurs from Xinjiang
2019-03-19,Politician who opposes mandatory chickenpox vaccinations contracts chickenpox,"Telstra blocks access to 4chan, 8chan, LiveLeak in Australia",Vladimir Putin signs sweeping Internet-censorship bills,"Within 25 years England will not have enough water to meet demand, the head of the Environment Agency is warning. He wants to see wasting water become ""as socially unacceptable as blowing smoke in the face of a baby"".",Canada's oldest rape crisis centre stripped of city funding for refusing to accept trans women.,Christchurch mosque shooting victims receive $2.1m donation from Chinese visitors,Video Released of Israeli Soldiers Laughing while Beating Palestinians in Custody,Barcelona Fines Landlords Who Let Buildings Sit Empty,"People want higher taxes on rich, better welfare: 21-country OECD survey","EU countries 'really exhausted' by Brexit negotiations and could block Theresa May's delay, Germany warns","New Zealand's Prime Minister Says Social Media Can't Be 'All Profit, No Responsibility'",World's poor pay more for water than the rich: UN,"Trump Administration Ignoring UN Requests for Access to US-Mexico Border, Says Human Rights Activist - “at least 22 requests from U.N. special rapporteurs have gone ignored by the Trump administration”",Christchurch mosque shooting accused not allowed TV or newspapers in prison,Italian politician and leading anti-vax figure hospitalised with chickenpox,"Eleven people have died and more than 30,000 have been infected this year in a major measles outbreak in Ukraine, the European country worst hit by the disease","People don't become 'adults' until their 30s, say scientists",Norway say Hydro cyber attack began Monday evening and escalated during the night,Australian telcos are blocking content hosting the NZ terror attack with the aim of ensuring terrorist videos and hate speech aren’t perpetuated.,Italy's La Scala opera house returns $3m Saudi funding. Milan theater decides to refund payment and cancel Saudi partnership after criticism by rights groups and politicians,"People are not full adults until their 30s, scientists say",Norway says it proved Russian GPS interference during NATO exercises,"Exxon’s Climate Denial Set To Face First Public Scrutiny As Legal Woes Mount - On Thursday, European Parliament members are set to hold a hearing in Brussels that could strip Exxon Mobil of lobbying access and deepen the oil giant’s mounting legal woes.","Scientists warn of ""inevitable sea level rise"" as Antarctica ice melts","Teenager accused of sharing video of Christchurch terror attack denied bail, faces 14 years in prison"
2019-03-20,"German Politicians Call Trump's Ambassador A 'Brat' And 'Total Diplomatic Failure,' Demand Immediate Expulsion",Man who tackled 'Eggboy' has outstanding warrant on charges relating to church incident,'Let people see it': Trump says Robert Mueller’s final report should be made public,A Russian 'troll slayer' went undercover at a troll factory and found that hundreds of Russians were working as paid trolls in rotating shifts,"Man sacked, deported from UAE for celebrating NZ mosque shooting","The US could be guilty of war crimes in Somalia and has killed civilians under a 'shroud of secrecy,' according to a new report",A Russian 'troll slayer' went undercover at a troll factory and found that hundreds of Russians were working as paid trolls in rotating shifts,Brexit: 90% say handling of negotiations is 'national humiliation' - Sky Data poll,New Zealand's deputy prime minister to confront Turkish president after threat to send Kiwis home in coffins 'like your grandfathers',Trump says ISIS will be 'gone by tonight',"Alarm over leaked US database targeting journalists and immigration activists: Secret database listed 59 advocates and journalists tied to the migrant caravan, according to leaked documents",Maria Butina’s Legal Bills Are Being Paid by a Russian Who Has Supported Texas Independence,"There is credible evidence that U.S. military airstrikes in Somalia have killed or wounded nearly two dozen civilians, an international human rights group said Tuesday, charging that the Pentagon is not adequately investigating potential casualties",Japan urged to stop requiring transgender people to be sterilized before changing gender on official documents,"Germany plans to pass legislation by the end of 2019 to create a state-owned fund that can protect key companies from takeovers by Chinese and other foreign firms, government sources said, in a marked shift from its ""hands-off"" approach to business.",China Says Dalai Lama's Reincarnation 'Must Comply with Chinese Laws and Regulations',"Italy: driver hijacks bus with 51 young students, says he will kill them all, sets it alight. Nobody sustains major injuries",Thieves mock Trump by stealing border razor wire to protect homes in Mexico. Fifteen people reportedly arrested for robbing concertina wire installed by US authorities and selling it to locals in Tijuana,"For the first time, mathematics' most prestigious prize has been awarded to a woman, Karen Uhlenbeck","Mental illness no excuse for Christchurch mosque shooting, says New Zealand's Mental Health Foundation",Her son died. And then anti-vaxers attacked her.,"Turkish President Erdogan airs mosque shooting video at rallies, threatens New Zealand, Australia",Giant sunfish washes up on Australian beach: 'I thought it was a shipwreck' - Rare creature found at the mouth of Murray River in South Australia,India has decided to divert three Indian Naval Ships to the port city of Beira in Mozambique to provide immediate humanitarian assistance and disaster relief .,Hundreds of hotel guests were secretly filmed and live-streamed online
2019-03-21,"Jacinda Ardern has announced that New Zealand will ban all military-style semi-automatic weapons and assault rifles, essentially commencing immediately",'Cancel Brexit' petition hits 1m signatures,Norway says it has proof Russia messed with GPS signals during recent NATO exercises,Brexit: EU rejects May's request for three-month delay | Politics,European Wikipedias have been turned off for the day to protest dangerous copyright laws,Doomed 737 Max Jets Lacked 2 Safety Features That Boeing Sold as Extras,"300,000 sign petition to revoke Article 50 and demand UK stays in EU",Top Ukrainian justice official says US ambassador gave him a 'do not prosecute' list,Facebook left 'hundreds of millions' of user passwords unencrypted,'It's a godsend': India’s healthcare scheme that will provide free medical care to 500 million people.,Biker gangs stand guard by NZ mosques at first Friday prayers,"Jared Kushner using WhatsApp to speak to foreign contacts, top Democrat says","""Weapons of war have no place in our business — or our country,"" CEO of New Zealand's largest gun retailer Darren Jacobs said today while announcing his company's ban on assault weapons:",Kachin women from Myanmar 'raped until they get pregnant' in China,"Danish billionaires plan to rewild large swath of Scottish Highlands - Scotland’s largest private landowners want to reverse years of land mismanagement, says adviser","After a 10-year legal battle, Iraqi victims of the Abu Ghraib torture scandal are taking a private military contractor to trial for its alleged role in the abuse","Australian far right Senator Fraser Anning, who has been widely condemned for his remarks blaming the Christchurch terror attacks in immigration, and recently egged, spent the most taxpayers money on family travel last year.",Italy: Bus driver hijacks and sets alight to school coach full of children 'in retaliation' for migrant drownings,"Australia has enough solar, wind storage in pipeline to go 100% renewables",Anti-immigration party wins most votes in Netherlands election,White House Rejects Democrats' Demands for Information on Trump-Putin Talks,Europe and Canada Just Signaled They Don't Trust the FAA's Investigation of the Boeing 737 MAX,Iranian TV censors cover up the nipple of Dwayne “The Rock” Johnson,"Petitions site crashes after 600,000 back call to revoke article 50 | Politics","5 Couples Publicly Whipped In Indonesia For Cuddling, Holding Hands"
2019-03-22,Brexit: Petition to remain in the EU hits two million signatures in just one day,Defrocked Jersey priest who molested boys now teaches kids English in Dominican Republic,"Special counsel Mueller has submitted a report to the attorney general, signaling the end of his Russia investigation",Trump will remove new North Korea-related sanctions because he ‘likes’ Kim Jong Un,4 children of anti-vaxxers Americans found with measles in Costa Rica. Second time a measles case is reported in Costa Rica this year from foreigners. Last time a measles case was reported in Costa Rica was over 15 years ago.,Revoke Article 50 Brexit petition hits 3million signatures,Pompeo: 'Trump sent by God to save Jews',"$1.3 trillion and 7,000 finance jobs are leaving Britain because of Brexit",Woman dies after 11-hour wait to see a doctor in New Brunswick emergency room,Top oil firms spending millions lobbying to block climate change policies,Suicide now leading cause of death among children aged 10 to 14 in Japan,A man who shot a sleeping lion dead has been named as a notorious American trophy hunter.,Reddıt is allowing a major Trump-supporting community to flourish despite members defending the New Zealand mosque shooter,EU says doesn't recognize Israel's sovereignty over Golan Heights,Lion Air Crash Families Say They Were Pressured to Sign No-Suit Deal,Jordan Peterson's popular 12 Rules book banned by New Zealand booksellers because of Christchurch mosque massacre,"Russia Will Use Donald Trump's Golan Heights Comments to Justify Crimea Annexation, Experts Say","Eat pork, speak Chinese, no beards: Muslim former detainee tells of China camp trauma",Theresa May prepares to give MPs vote to revoke Article 50 and stop Brexit -,Brexit: EU leaders agree Brexit delay plan,"A new ketamine-based antidepressant entered the U.S. market in March, the first fundamentally new medicine for depression in decades.","Autopsy for one-time Putin ally who died mysteriously in Washington, D.C. hotel shows “unusual” injuries, report says","US Government Knew Climate Risks in 1970s, National Petroleum Council Documents Show",Trump says he is withdrawing earlier North Korea-related sanctions,"'Bugger off,' NZ ex-police minister tells National Rifle Association"
2019-03-23,Over 1 million march in London for a second referendum,Revoke Article 50 petition calling for Brexit to be cancelled hits four million signatures,Egyptian singer has been banned from performing in her home country after suggesting that it does not respect free speech,"Christchurch mosque shooter's manifesto deemed objectionable by the NZ Chief Censor, knowingly possessing or sharing it carries up to a 14 year jail term",Only a week after the Mosque shooting in New Zealand which killed 49 people the Mosque is now open thanks to local contractors who all volunteered free service to the Mosque and have worked non-stop to get the mosque ready for prayers.,"A Russian tourist attempting to smuggle a drugged orangutan out of Indonesia in his suitcase to bring home and keep as a pet has been arrested in Bali, Indonesia",Tyrannosaurus rex found in Canada is world's biggest,"Cruise ship to 'evacuate its 1,300 passengers after sending mayday signal off the coast of Norway'.",Woman who launched Brexit petition to revoke Article 50 receives death threats. Online petition attracts more than 4m signatures as Margaret Georgiadou is forced to close Facebook account.,"Secret emails show Facebook knew about Cambridge Analytica earlier than they've said, DC AG claims","Students In Ukraine Learn How To Spot Fake Stories, Propaganda And Hate Speech","Several thousand supporters of Russia's Communist Party rallied in Moscow against government policies, with some attacking President Vladimir Putin who they said was personally responsible for entrenched corruption and rising prices","Dirty water 20 times deadlier to children in conflict zones than bullets – Unicef - World Water Day study highlights lethal nature of unsafe sanitation and hygiene for children, especially under-fives",Diarrhoea kills more children in war zones than war itself – Unicef,Death toll in Mali attack rises to at least 110,France says Israeli sovereignty over Golan breaks international law,"Young women trafficked to China and held until they give birth, report says","Hate crimes increased 226% in places Trump held campaign rally, study",Petition to revoke article 50 has now reached the status as the the most popular in Parliament website’s history.,Cabinet Ministers Are Plotting To Oust Theresa May As Even Her Fed Up Whips Say Her Brexit Deal Is Doomed,China has halted all Canadian Canola imports leaving 40% of Canada’s lucrative Canola industry in limbo. Likely politically motivated.,The corn syrup in a soda a day can give mice bigger colon tumors | Science,Soldiers may ‘open fire’ if lives at risk in Yellow Jacket protests: Paris military general,"World’s fastest shark now facing extinction, conservation experts warn - The world’s fastest shark is hurtling towards extinction following years of hunting for its prized meat and fins.",Ad watchdog orders homeopaths to stop claiming autism cure
2019-03-24,Mueller report summary delivered to Congress,"David Attenborough warns of 'catastrophic future' in climate change documentary | Climate Change – The Facts, which airs in spring on BBC One, includes footage showing the devastating impact global warming has already had, as well as interviews with climatologists and meteorologists",Over 100 Mali villagers killed by gunmen,"Mass Protest Vowed If Demand for Public Release of Mueller Report Not Met: ""Hundreds of thousands of Americans stand ready to take to the streets in cities and towns across the nation to demand the truth.""",Khashoggi was just one victim of many in Saudi prince’s campaign to silence dissenters,Justice Department: Mueller did not find that Trump campaign or its associates 'conspired or coordinated' with Russia,Russian Air Force Planes Land in Venezuela Carrying Troops,"Nazi-hunting spy Rafi Eitan, who tracked down Holocaust architect Adolf Eichmann, dies aged 92","Huge fossil discovery made in China's Hubei province - Scientists say they have discovered a ""stunning"" trove of thousands of fossils on a river bank in China.","Fossil fuel industry must contribute towards £44bn climate change damage in UK each year, campaigners say - 'It’s time the industry is held to account for the range of damage it causes and is made to foot much of the bill for the transition to clean energy'",UK Government's Fracking plan ‘will release same C02 as 300m new cars',Russian air force planes land in Venezuela carrying troops: report,Myanmar women are being sold as ‘brides’ into sexual slavery in China,Indian naval crew has rescued more than 192 people in cyclone-hit Mozambique,Italy: Infant dies after parents circumcise him at home,Bolsonaro says Brazil owes world nothing on environment,Australian prime minister says far-right senator should be charged for punching ‘egg boy’,"Over 100,000 people in Germany and other European countries have taken to the streets today to protest Article 13 and 11 (now 17 and 15) of the EU Copyright Directive.",Pro-remain MPs draw up plans to vote on revoking article 50,"Cruise ship ""Viking Sky"" issues mayday call after encountering extreme weather conditions and engine failure; 1300 passengers to be evacuated by air lift in Norway.",May urged to quit to help Brexit deal pass,Thousands of measles deaths averted by Indian vaccination campaign,Russia send more than 100 troops to Venezuela,Fracking plan ‘will release same C02 as 300m new cars’,"Mueller Report Doesn't Find Russian Collusion, But 'Can't Exonerate' On Obstruction"
2019-03-25,"'Congress Didn't Ask for a Summary': Demands to #ReleaseTheFullReport Surge After Barr Letter: ""I don't want a summary of the Mueller report. I want the whole damn report,"" said Sen. Bernie Sanders",'It didn't make any sense': China censors all gay references in Bohemian Rhapsody leaving audiences confused,McConnell blocks resolution calling for Mueller report to be released publicly,Gibraltar just banned balloons in bid to save marine life,Canada grants asylum to family who helped Edward Snowden,Trump's EPA Head Said Climate Change Is Not a Top Threat Because It's '50 to 75 Years Out',"Scientists say they have discovered a ""stunning"" trove of thousands of fossils on a river bank in China. The fossils are estimated to be about 518 million years old, and are particularly unusual because the soft body tissue of many creatures have been ""exquisitely"" well preserved.","‘A new world order’: China’s press freedom crackdown poses a threat to int’l democracies, says media watchdog... The report condemned Chinese President Xi Jinping as an “enemy of democracy, universal values, human rights and press freedom.”",'Coal is on the way out': study finds fossil fuel now pricier than solar or wind,"A British laboratory has found “traces of explosives” in samples from a Polish presidential plane that crashed in Russia in 2010, according to a report.",US airstrike kills 14 members of one family in Afghanistan,Crippling debt ‘linked to depression’,"Humans can make new brain cells into their 90s, scientists discover",Muslim Parents aggressively protesting LGBT school lessons in Birmingham UK.,Five opposition parties call on UK to end arms sales to Saudi Arabia,Protesters in Germany rally against EU internet copyright reform,Global stocks tumble as bond markets sound U.S. recession warning,"Banks Funneled $1.9 Trillion Into Fossil Fuels Since Paris Agreement | 33 global banks provided $1.9 trillion to fossil fuel companies since the adoption of the Paris Climate Agreement at the end of 2015, and the amount of fossil fuel financing has increased in each of the past two years","Boeing had a safety warning light for a malfunctioning anti-stall device on the 737 Max, but you had to pay extra and it was not included in the ""baseline"" model.","House Intel Committee Considers Calling Mueller - 'the panel’s mission is broader than the special counsel, who was looking for crimes, and they want more information than was in a summary.'",South Korea elderly live in poverty in a land of riches,Explosion reported after rocket alert blares in central Israel,'These crimes are disgusting': German family to donate $16m after hearing extent of Nazi past.,Gaza: Journalist facing prison term for exposing corruption in Hamas-controlled ministry,Head of Prague Muslim community expelled after call for Muslims to arm themselves
