,Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
94,2020-04-04,"'Sell one of your three yachts!': Outrage as billionaire Sir Philip Green asks for taxpayer help to pay emergency wages to 14,500 workers he has furloughed",US blocks medical aid to Cuba in show of ‘wild west brutality’,"More than 700k people sign petition that call for the resignation of Ghebreyesus, WHO director general","After Trump tries to block 3M’s N95 orders placed by Canada, Ontario’s premier turns the table, plans to mobilize production for “N96” masks, and keep them North of the border.","Cuban officials say a shipment of coronavirus aid from Asia's richest man, Jack Ma, has been blocked by the six-decade U.S. embargo on the island.",Trump gives FEMA power to restrict trade of essential goods into Canada: U.S. President Donald Trump is vowing to stop the export of vital medical supplies despite a warning from Prime Minister Justin Trudeau to keep the Canada-U.S. border open to goods needed to fight the coronavirus pandemic.,NHS worker quit when she was stopped from wearing face mask | Tracy Brennan chastised superiors at hospitals trust for making her remove mask she had bought herself,"For First Time Since Outbreak Began, Use of ICU Beds in Italy has Dropped","Wives can refuse sexual advances from husbands during coronavirus quarantine, says top Saudi cleric",Majority of Taiwanese support replacing 'Republic of China' with 'Taiwan' on passport cover,Turkey seizes hundreds of ventilators paid for by Spain in move 'bordering on criminality',Ontario premier slams Donald Trump's decision to cease exports of N95 masks to Canada,"Even if you test negative for COVID-19, assume you have it, experts say: Conventional diagnostic tests for the novel coronavirus may give false-negative results about 30% of the time","Russian mercy mission to Italy is a front for intelligence gathering, British expert warns","Canada to receive 'millions' of masks, won’t retaliate for U.S. ban on 3M exports: PM",More than 100 doctors and nurses have died combating coronavirus across the world - 'nearly half of whom are reported to be in Italy.',Doctors say India must prepare for an 'onslaught' as one of Asia's biggest slums reports first coronavirus death,Russia says its coronavirus outbreak is extremely small. Vladimir Putin's critics say that's a facade,"France to ""Temporarily"" Nationalize Companies Over COVID-19","World Health Organisation reverses course, now supports wearing face masks in public","Spanish hotel owner turns resort into haven for refugees and the homeless during coronavirus crisis, laid off staff voluntarily continue to work without pay",The first two people who tested positive for COVID-19 in Zambia have been released from an isolation facility after successfully recovering from the disease | Meanwhile the country did not record any new cases in the last 24 hours.,"Telecoms engineers are facing verbal and physical threats during the lockdown, as baseless conspiracy theories linking coronavirus to the roll-out of 5G technology spread by celebrities such as Amanda Holden prompt members of the public to abuse those maintaining vital mobile phone and broadband net","Coronavirus: World Health Organisation reverses course, now supports wearing face masks in public",5G masts are being set on fire in the UK due to coronavirus conspiracy theories.
95,2020-04-05,Boris Johnson admitted to the hospital,Coronavirus: Irish Prime Minister returns to practising medicine to help during crisis,"IKEA (the world's largest furniture retailer) has revealed that 70% of the materials used to make its products during 2018 were either renewable or recycled, as it strives to reach the 100% mark by 2030.","In NZ, a man has been arrested after posting a video coughing and sneezing at fellow shoppers at a Christchurch supermarket: ""The man has been charged with endangering life by criminal nuisance and obstruction of a medical officer of health.""","Rwanda finds genocide grave that could contain 30,000 bodies",3M denies German officials' allegations that a mask shipment was diverted to the US in 'an act of modern piracy',"Domestic abuse cases soar amid coronavirus lockdown, with charities no longer being able to ""effectively support"" victims","Premier infuriated by Trump, says Canada helped US amid 9/11",The Trump administration is determined to withdraw from a 28-year-old treaty intended to reduce the risk of an accidental war between the west and Russia by allowing reconnaissance flights over each other’s territory.,"Taiwan offers masks and medical aid to foreign countries, angering Beijing","Prague Removes Statue of Soviet-Era Commander, Angering Russia","430,000 people have travelled from China to US since coronavirus surfaced","Daily COVID-19 deaths in Spain, France and Italy continue to fall. ""Families, doctors and nurses in Lombardy indicate that scores are dying at home as symptoms go unchecked and medical professionals are unable to visit the sick before they pass away.""",Queen Elizabeth to give rare televised speech about the coronavirus,"Brazilian president Bolsonaro is being called ""a monarch without powers"" as the military elite appoints general Braga Netto as the ""operational president"" during pandemic.",Queen: 'We will succeed' in fight against virus,Elton John Launches $1 Million Coronavirus Emergency Fund To Protect People With HIV,Trial Drug Successfully Blocks COVID-19 from Entering Cells,"Facebook admits error in marking videos of Hong Kong police storming metro station as ‘false,’ reverses decision","Czech Republic to Take In Six French Patients: “France turned to us for help with the hospitalization of its patients. Due to the sufficient capacity, we accepted their request,"" wrote PM Andrej Babiš",Scotland's chief medical officer faces calls to resign over lockdown breach - Catherine Calderwood apologises after visiting second home despite issuing advice to ‘only go out when necessary’,Colombia's Catholic Church suspends 15 priests for sexual abuse,"Chinese vets have collected blood samples from 100 stray and house cats from Wuhan, finding that about 15% of them have been infected with the novel coronavirus.",'We need to be alert’: Scientists fear second coronavirus wave as China’s lockdowns ease,"Fears of massive Pakistan coronavirus outbreak after 100,000 attended Lahore religious gathering"
96,2020-04-06,"Spain to implement universal basic income in the country in response to Covid-19 crisis. “But the government’s broader ambition is that basic income becomes an instrument ‘that stays forever, that becomes a structural instrument, a permanent instrument,’ she said.”","South African Wedding Ends in Arrest of Bride and Groom, Pastor, and All 50 guests for Breaking Nationwide Ban On Public Gatherings",YouTube will suppress content promoting false 5G coronavirus conspiracy,Fears grow for Chinese student who’s now missing after telling Xi Jinping to step down,Eating Bats and Pangolins Banned in Gabon as a Result of Coronavirus Pandemic,New report holds China culpable for COVID19 pandemic: calls for compensation,"UK National Health Service coronavirus nurse, 23, dies after 12-hour shift 'without right protective kit'",Turkey bans selling face masks. The masks will be provided to people free of charges.,Ventilators destined for Barbados seized by U.S.,Scotland's chief medical officer resigns after breaking her own lockdown rules to visit her second home,LGBT charity tells young people to ‘hit pause’ on coming out while in lockdown with parents,"A potential coronavirus vaccine funded by Bill Gates is set to begin testing in people, with the first patient expected to get it today",Turkey to ensure beloved street cats don't go hungry during coronavirus crisis,Chad army destroys Boko Haram bases,"France records deadliest 24 hours as coronavirus death toll nears 9,000",The drug company Novartis is a big supplier of a drug called plaquenil (hydrocloroquine) the same drug that Trump has been pushing relentlessly. It’s important to also know that Novartis paid Michael Cohen $1.2 million in 2018 to have access to Trump.,"Tigers at Bronx Zoo tests positive for COVID 19 after developing coughs. This comes after a study showing 15% of cats in Wuhan had COVID 19, and one instance in Belgium of a cat falling sick from COVID",New Zealand Prime Minister announces the Easter Bunny and Tooth Fairy are essential services,"Chinese tourist sites packed as country comes out of lockdown, but experts say risk still high","The Chinese companies stockpiling Sydney's medical supplies. ""In just two months, China stockpiled around 2.4 billion pieces of protective equipment, including more than two billion masks""","Vanuatu, one of the few country with no confirm cases of Covid-19, get direct hit by cat 5 Cyclone Harold. Population: 300 000",Ventilators destined for Barbados seized by U.S.,Dominic Raab takes over as acting PM of the UK,Crowd in Ivory Coast destroys coronavirus testing centre,Coca-Cola is again rated as the most polluted brand in the world.
97,2020-04-07,"Coronavirus: Doctors and nurses will need PTSD treatment after Covid-19 virus peaks in hospitals, warn health leaders","COVID-19 lockdown: New Zealand Health Minister demoted after driving 20km to beach, breaking lockdown rules",The UK rejects Trump's offer to help with Boris Johnson's coronavirus treatment,Swedish hospitals have stopped using chloroquine to Treat COVID-19 after reports of Severe Side Effects.,Police arrest conspiracy theorist who posted fake 'contaminated test kits' video urging people to avoid Covid-19 testing,"UK thanks Cuba for 'great gesture of solidarity' in rescuing passengers from coronavirus cruise ship - A spokesperson for cruise operator Fred Olsen said at the time that ""no other Caribbean ports were willing to accept the ship because of local sensitivities towards COVID-19 coronavirus"".","A zoo has been trying to get two pandas to mate for 10 years. When coronavirus shut the zoo down, the pandas finally did",Bill Gates calls Taiwan's handling of coronavirus 'exemplary',Zoom banned by Taiwan's government over China security fears,China outraged after Brazil minister suggests Covid-19 is part of 'plan for world domination',"Sweden is facing increasing pressure to impose a coronavirus lockdown after the number of deaths rose by nearly 20 per cent in a day to 477. The government has so far resisted calls to shut down pubs, restaurants, offices and schools, while gatherings of up to 50 people are still permitted.","An Ontario nursing home besieged by COVID-19 didn't separate healthy from sick residents or staff until after 16 people had died, and two weeks after the home declared a respiratory outbreak, CBC News has learned.",Germany’s number of Coronavirus daily recoveries exceeds new cases for the first time,"3M reaches deal with Trump administration allowing face-mask exports to Canada, Latin America",Egyptian lawyer demands China pay $10 trillion in coronavirus damages,"Wearing masks is mandatory starting tomorrow in Morocco for everyone going outside, they will be sold for about 0.08 USD per unit. Anyone failing to respect this could face up to 3 months of imprisonment. Source : Moroccan PM.",Canadian province of Ontario angry over 'unacceptable' U.S. move to block face masks,"Northern Irish women seeking an abortion have been told they must take an 8-hour ferry to England despite the lockdown, as the regional government resists pressure to offer abortions locally and the coronavirus pandemic stops flights.",Hong Kong shuts airport to foreigners indefinitely as cases rise to 914,Not selling booze and tobacco during lockdown 'harmful to addicts',"Another AfD politician's car set on fire in Berlin: For the at least the third time since March, a vehicle belonging to a member of the far-right German political party appears to have been torched on purpose",Donald Trump talks of ‘retaliation’ if India turns down Covid drug request,A town mayor has been expelled from the Labour party for saying Boris Johnson ‘completely deserves’ to have coronavirus.,51 recovered coronavirus patients test positive again in South Korea,Report: Donald Trump has stake in Hydroxychloroquine drugmaker
98,2020-04-08,US intelligence warned in November that coronavirus spreading in China could be 'cataclysmic event': report,"Lady Gaga has raised $35 million in 7 days for the WHO's global coronavirus response fund, and is spearheading a free virtual global festival on multiple stations including Stevie Wonder, Sir Paul McCartney",Ontario passes emergency order allowing pot shops to deliver and offer pickup,Taiwanese team finds key antibodies in COVID-19 patients,BlackBerry Uncovers China Backed Hacking Campaign,Pope condemns those trying to make quick buck off coronavirus,Nearly half of global coal plants will be unprofitable this year: Carbon Tracker,Police cadets are busted throwing a late-night party in a horrendous breach of coronavirus social distancing measures,"Iran ‘hides 500,000 virus cases,’ says member country’s anti-virus taskforce",Xerox is making disposable ventilators that do not require power to work.,Top EU science adviser resigns: 'I have lost faith in the system itself',The price of rice — a staple food in Asia — has hit 7-year highs due to the coronavirus outbreak as importers rush to stockpile the grain while exporters curb shipments,"A study from the National Institutes of Health (NIH) suggest that coronavirus can be transmitted through the air from tiny saliva droplets that are expelled when people speak. Speech is also said to produce more droplets than coughing, which may be a more obvious mode of transmission.",500-year-old manuscript contains one of earliest known uses of the “F-word”,ABC News: US intelligence warned of China's spreading contagion in November,Coronavirus basic income: 13 countries around the world experimenting with direct payments to offset COVID financial fallout,Zoom sued for privacy and security flaws by shareholder,"Jack Dorsey, the founder of Twitter and payment app Square, has said he will donate $1bn (£810m) towards efforts to tackle the coronavirus pandemic. According to Mr Dorsey, the donation represented approximately 28% of his wealth.",Tesco has paid out £900 M in dividends to investors despite securing a £585 M tax break from the UK Government. The supermarket’s ‘aggressive’ move to hand cash to shareholders was criticised by politicians and analysts as some major firms have suspended payouts during the coronavirus pandemic.,Germany bolsters corporate defenses against Chinese 'predators' as European officials worry coronavirus-weakened companies could be acquisition targets,"Covid-19 to wipe out equivalent of 195M jobs, says UN agency",At least 5 countries - including a poor Caribbean island - are accusing the US of blocking or taking medical equipment they need to fight the coronavirus,Eight U.K. Doctors Died From Coronavirus. All Were Immigrants.,"Next coronavirus 'right around the corner' if wet markets don't close, animal rights groups, politicians warn","After COVID-19 scare, Wuhan's disputed wet markets are making a return; Cars lined up this week at the main entrance to the Baishazhou wet market, one of the biggest in Wuhan, which is buzzing again"
99,2020-04-09,"""So easy I thought it was fake."" Canada's CERB system, used to give money to those who have lost their job due to COVID-19, gets stellar reviews in its first days of operations.",Doctor who warned prime minister Boris Johnson about PPE dies with COVID-19,"China declares dogs are companions and should not be eaten, signalling possible end to brutal meat trade","Obesity is major COVID-19 risk factor, says French chief epidemiologist",Tennis Tournament Wimbledon paid pandemic insurance for almost 20 years. Now it’s getting $141 Million.,Number of new cases of Covid-19 in NZ plummets to 29,India's supreme court has ordered all coronavirus tests to be made free,Finland discovers masks bought from China not hospital-safe,"Coronavirus could drive half a billion people into poverty worldwide, warns Oxfam",London bus drivers are dying from coronavirus. Demands to protect them better are growing.,"China reclassifies dogs as pets, not livestock, in post-virus regulatory push",South African President extends the nationwide 21 day lockdown by two more weeks and announces his entire Cabinet and all the Premiers will take a one-third pay cut over the next three months as a donation to the Solidarity Fund set up as a response against the COVID-19 pandemic,Coronavirus reaches Amazon's isolated Yanomami tribe. Fears grow as Brazil confirms a 15-year-old Indigenous Yanomami boy contracted COVID-19.,More Than Half of Passengers on Antarctica Cruise Test Positive For Coronavirus,"Coronavirus: WHO Slams Trump Over Defunding Threats, Stop 'Politicizing COVID-19'","Lockdowns can't end until coronavirus vaccine found, study says based on the Chinese experience","EU top diplomat says Russia, China seek to use the pandemic to extend their influence",Hedge funds 'raking in billions' during coronavirus crisis,"People infected with COVID-19 may spread the disease when they speak and breathe, not only when they let out a hearty cough",Australia appears to be beating coronavirus - less than 100 new cases as daily rates of infection continue to drop,IMF chief says pandemic will unleash worst recession since Great Depression,Nightclubs in Mexico allegedly offering 'home delivery' sex services during coronavirus pandemic,Wildlife destruction 'not a slippery slope but a series of cliff edges' - New study finds ocean ecosystems likely to collapse in 2020s and land species in 2040s unless global warming stemmed,Up to 150 Members of the Saudi Royal Family Infected With Coronavirus,Prime Minister Boris Johnson released from intensive care
100,2020-04-10,"Coronavirus: Chile’s elite scolded for escaping by helicopter for Easter holiday amid outbreak - Interior minister says citizens have ‘moral duty’ to stay home, as wealthy Santiago residents sneak off to coastal enclaves","Coronavirus: US Officials Knew Of Wuhan Health Crisis In November, A Second Report Claims",Japan To Pay Its Firms $2 Billion From Covid-19 Stimulus Package To Shift Production Out Of China,"More than 240,000 Chinese companies declare bankruptcy in the first two months of 2020",Blood tests show 14% of people are now immune to COVID-19 in one town in a hard-hit part of Germany,French police turn back private jet of holidaymakers from UK,Japan's sudden spike in coronavirus cases after Tokyo Olympics postponement raises eyebrows,Snowden Warns Governments Are Using Coronavirus to Build 'the Architecture of Oppression',"5G virus conspiracy theory fuelled by coordinated effort involving bot accounts, researchers say",Mexican mayor 'shot dead' by drug gang after blocking roads amid coronavirus lockdown,Wuhan rent protest shows unrest brewing in China after lockdown,Far-right terrorist ringleader found to be teenager in Estonia: A group known as Feuerkrieg Division (fire war division) was led by a 13-year-old from Estonia. The teenager shared bomb-making instructions and wanted to set up a terrorist training camp,"More than 5,600 sexual health clinics have shut due to the new coronavirus, risking more deaths from unsafe abortions and denying women access to HIV tests and drugs, the International Planned Parenthood Federation (IPPF) warned on Friday.","A small, specialized unit within the Canadian military's intelligence branch began producing detailed warnings and analysis about the emergence of the deadly novel coronavirus in Wuhan, China in early January, CBC News has learned.",African students and businessmen on the streets for second night following mass eviction of African nationals from hotels,Canada and France say donations of coronavirus masks won't influence decisions on Huawei and 5G,"In Kenya, Zebra Mates With Donkey, Gives Birth To ""Highly Unusual"" Zonkey",Sask. researchers say they successfully decontaminated test run of N95 masks for reuse,Indian State of Haryana doubles salaries of frontline health department staff amid coronavirus.,Saudi Arabia king quarantined as 150 members of the Royal family test positive for coronavirus,Mexican Drug Cartel Gives Out Food to the Poor Amid Pandemic,"After Months of Denial, Russia Admits the Virus Is Taking Hold",Hong Kong police accused of misusing privacy laws to make things difficult for a woman who wants to get footage officers took of her so that she can lodge a complaint. She alleges the footage shows her removing her one-piece dress in front of other male officers and bus passengers.,"Dutch report 2,000 extra deaths in early April, likely due to coronavirus","Taiwan gives 400,000 masks to U.S. under cooperation arrangement"
101,2020-04-11,Jane Goodall calls for global ban on wildlife trade and end to 'destructive and greedy period of human history',Google has banned the Zoom app from all employee computers over security vulnerabilities,Taiwan reveals email to WHO; didn't say human-to-human transmission,Massive eruption at Indonesian volcano Krakatoa - report,"Spain's overnight coronavirus death toll at 510, lowest in 19 days",The United States is now reporting more coronavirus deaths than any other country,Coronavirus spreads at party for Venezuelan elite,The Chernobyl Exclusion Zone is on fire and radiation levels are spiking,A recent study has shown that people with blood type 0 are more resistant to COVID-19 than those with blood type A,A piece of string found in a cave in France shows that Neanderthals knew how to twist fibres together to make rope,Ozone hole three times the size of Greenland opens over the North Pole,"Canada calls for global ceasefire, while arming Saudi Arabia in their military campaign against Yemen",“Glue” made from the bones of endangered tigers is being sold by Vietnamese trader to promote health during the pandemic,"China clamping down on coronavirus research, deleted pages suggest",Covid-19 pandemic gives ‘anti-vaxxers’ pause,Four-year-old boy beats coronavirus while also fighting cancer with gruelling chemotherapy sessions.,Microsoft gives 12 weeks paid leave to parents as schools stay closed,Japan to Pay Companies to Move Production Out of China,"Biodiversity loss and wildlife trade are making pandemics like COVID-19 more likely, experts say","These Nurses Had to Wear Trash Bags as PPE. Now They Have Coronavirus: The nurses shared a photo of their makeshift personal protective equipment last month. Now, like so many of their colleagues, they're sick.","Brazil has become the first country in the southern hemisphere to surpass 1,000 deaths with coronavirus.",Jane Goodall says 'disrespect for animals' caused pandemic,Britain hits ‘significant milestone’ as renewables become main power source,3 strains of novel coronavirus discovered worldwide,"UK CEOs taking Covid-19 pay cuts 'should not be rewarded with shares' - Companies whose bosses take pay cuts during the Covid-19 crisis should be wary of handing them lucrative share awards at the same time, investment advisers have warned."
102,2020-04-12,Canada Passes Historic Wage Bill to Stem Wave of Job Losses,Yemeni Women Launch Their Own 'Me Too' Online Campaign Against Sexual Harassers,"Coronavirus: 31 Dead, Elderly Covered In Feces At Dorval Long-Term Care Facility",Beijing tried to make German officials praise China over coronavirus outbreak,"UK Prime Minister Boris Johnson thanks hospital staff, saying 'I owe them my life'",UK spy agencies urge China rethink once Covid-19 crisis is over: Britain’s intelligence community believes the UK needs to reassess its relationship with China after the coronavirus crisis subsides and consider if tighter controls are needed over high-tech and other strategic industries.,"Bolsonaro dragging Brazil towards coronavirus calamity, experts fear","Malaysian bears in peril as China pushes cure for Covid-19: 'Two environmental groups have warned of a threat to the survival of the already endangered Malaysian sun bear, now that China is promoting bear bile as treatment for Covid-19.'",Nurses told to refuse to treat coronavirus patients if they have inadequate PPE,"Singapore had the coronavirus under control. Now it's locking down the country; After receiving global praise for its handling of the coronavirus, Singapore is now showing signs that it's struggling to flatten the COVID-19 curve",Brand new Chinese aircraft carrier catches fire,Boris Johnson leaves hospital as he continues recovery from coronavirus,WHO envoy says coronavirus ‘will stalk the human race for a long time to come’,"‘Didn’t follow lockdown, I am sorry’: Uttarakhand Police ask 10 foreigners to write 500 times",China imposes restrictions on research into origins of coronavirus,South Korea reports 91 'recovered' COVID-19 patients tested positive again,Taiwan scrambles warships as PLA Navy aircraft carrier strike group heads for the Pacific. Carrier is the only ship of its kind still operational in the region after USS Theodore Roosevelt and USS Ronald Reagan are forced to dock after crew are hit by Covid-19,Iranian Engineers Develop Open Source Ventilator For Patients Worldwide Suffering From COVID-19,"The Trump administration is seeking to block the International Monetary Fund from providing a $5 billion emergency loan to Iran for assistance in combating the coronavirus pandemic, according to three administration officials.",Germany: Police attacked while enforcing social distancing measures,"Britain hits ‘significant milestone’ as renewables become main power source: 'Renewables hit a new milestone, generating 35.4TWh between January and March, more than fossil fuels combined.'",New Zealand records another record drop in new Covid-19 cases,Coronavirus triggers shortage of illicit drugs in the UK,Moscow hospitals see 'huge influx' of patients as Covid-19 spreads in Russia - Long tailbacks of ambulances seen at a hospital in the capital as mayor warns the outbreak is only in the ‘foothills’,Von der Leyen: Life won’t return to normal until vaccine
103,2020-04-13,"Coronavirus 10 times more deadly than swine flu, says WHO",Iceland finds that half its citizens with coronavirus have shown no symptoms: The island nation has tested more of its population for COVID-19 than any other country,Scientists create mutant enzyme that recycles plastic bottles in hours | Environment,Nicaraguan president missing in action for nearly one month and counting,"White-tailed eagles - one of the largest birds of prey with a 2.5-metre wingspan - have been spotted for the first time in 240 years soaring above the North York Moors, England.","Brazil likely has 12 times more coronavirus cases than official count, study shows",Coronavirus closes meat plants in Canada and the United States as world’s largest pork producer warns of shortages,Universities brace for huge losses as foreign students drop out,"Even McDonald’s is now turning away black customers in Guangzhou, China",French President Macron extends coronavirus lockdown until May 11,Coronavirus: Nearly 800 bodies collected by police from homes in Ecuador’s virus epicentre - Guayaquil’s mortuary system has collapsed under the strain of Covid-19,Koalas Recovered from Australian Bushfires are Finally Going Home,"UK coronavirus hospital death toll rises to 11,329",Mexican Governor Orders Closure Of US Factory After It Refuses To Sell Ventilators To Mexico,Coronavirus: China strips virus research from internet,"WHO says 70 vaccines in the works, with three leading candidates",UK Prime Minister Boris Johnson has tested negative for coronavirus after hospital release,Bill Gates warns that the world is entering 'uncharted territory' due to a lack of preparedness for a pandemic like COVID-19,Japanese authorities are rushing to house thousands of homeless people following the closure of internet cafes in several major cities.,Locust plague up to 20 times larger than last wave could devastate parts of East Africa,US's global reputation hits rock-bottom over Trump's coronavirus response,Child sex abuse in Pakistan's religious schools is endemic,"Russia sees record 2,558 new daily cases of coronavirus as Moscow launches digital permits to control people's movements after shocking video showed dozens of ambulances queuing for hours outside hospitals",Locked down with a violent partner: domestic violence soars in Poland during coronavirus pandemic,Feds expose ploy by 'Australian and Kuwaiti scammers to sell fake stockpile of 39 million N95 masks'
104,2020-04-14,"Lego is producing 13,000 face visors a day for healthcare workers amid coronavirus pandemic",A 99-year-old World War II veteran raises $2.8 million for UK health-care workers amid the coronavirus,"Coronavirus can survive long exposure to high temperature, a threat to lab staff around world: paper - French scientists had to bring the temperature to almost boiling point to kill virus","Chile Counts Those Who Died of Coronavirus as Recovered Because They're 'No Longer Contagious,' Health Minister Says",The world risks a surge in measles deaths with 100 million children set to miss out on vaccines due to the coronavirus,"Putin states that Russia ""does not have much to brag about"" regarding COVID-19 pandemic, admits to not preparing well enough.",Taiwan reports no new coronavirus cases for first time in a month,Nurses at Mexico hospital hit by coronavirus say they were told to avoid masks to avoid sowing panic among patients,"Coronavirus distancing may need to continue until 2022, say experts","McDonald's apologized after a restaurant in Guangzhou, China, refused to service black customers","Many Older People Are Being ""Airbrushed"" Out Of Coronavirus Figures In The UK, Charities Have Warned.",Scientists Have Reported The First Case Of The Coronavirus Spreading From A Dead Body,Dozens of Polish women's rights activists used their cars and bicycles to block central Warsaw on Tuesday to protest draft legislation that would ban the abortion of foetuses with congenital birth defects,Amazon fires two employees critical of warehouse working conditions,Small Chloroquine Study Halted Over Risk of Fatal Heart Complications,Amazon faces having its operations reduced to a bare minimum in France after a court ruled the e-commerce giant can deliver only essential goods while the company evaluates its workers' risk of coronavirus exposure,Ricky Gervais hits out at stars 'complaining from mansions' as NHS staff risk their lives,Second wave of locusts in east Africa said to be 20 times worse,Ricky Gervais hits out at celebs complaining about lockdown in their mansions.,One third of NHS staff and other key workers tested in UK have coronavirus,Beijing faces a diplomatic crisis after reports of mistreatment of Africans in China causes outrage,"European countries need to protect their companies from Chinese takeovers, says EU Commissioner",One in five deaths now linked to coronavirus,"Facebook is suing an Israeli spyware company for allegedly hacking WhatsApp. Now, that company says Facebook tried to buy its spyware in 2017.","Measles outbreaks may occur as a result of the coronavirus pandemic, officials say, because some vaccination programmes are having to be delayed. Unicef says 117 million children in 37 countries may not get immunised on time."
105,2020-04-15,Italy hospital says Dr. Fauci 'welcome with open arms' if Trump removes him from his post,Bill Gates condemns Donald Trump for stopping US payments to World Health Organisation,"We Alerted The World' To Coronavirus On Jan. 5, WHO Says In Response To U.S.","Anti-malarial treatment hailed by Trump has no benefit for coronavirus patients, French researchers find - Study is the most comprehensive done on hydroxychloroquine treatment for Covid-19 patients",Amazon fined 1M€ per day that it continues to ship unessential products ruled a french court yesterday,"People are burning down 5G cell phone towers over coronavirus conspiracy theories. And in some cases, they're burning down 4G towers by mistake.","A Saudi citizen who refused government orders to give up his home to make way for a new mega-project was killed by security forces, according to Saudi activists","The Pentagon’s top general has said that US intelligence has looked into the possibility that the coronavirus outbreak could have started in a Chinese laboratory, but that the “weight of evidence” so far pointed towards “natural” origins.",Germany says WHO is one of best investments after Trump cuts funding,WHO turned down more than 70% of Taiwan’s requests for technical meetings,"All five patients who died of COVID-19 in the Indian city of Bhopal were survivors of the 1984 Bhopal Gas Tragedy, and were suffering from respiratory illnesses that made them more vulnerable to the disease",Kids aren't coronavirus 'guinea pigs': Danish mums rebel as schools reopen,"Nigeria has condemned the ""extremely distressing"" and ""unacceptable"" footage appearing to show its citizens in China maltreated because of the coronavirus pandemic","Coronavirus hoarder tries to return $10,000 worth of goods to Adelaide supermarket","""I’ve never written so many death certificates. I’ve never worked this many hours,” says an exhausted Issa Yacoub, a doctor working in one of Stockholm’s largest public hospitals.","Saudi Arabia Has Carried Out 800 Executions Since 2015, Says Rights Group",Beijing’s attack on Hong Kong opposition viewed as ‘taste of what’s to come’ as attention pivots from coronavirus to city’s legislative elections,Jacinda Ardern and other NZ ministers to take 20 percent pay cut amid coronavirus pandemic,Second Chinese city bans consumption of dog and cat meat,Australia - Bipartisan call for WHO to accept Taiwan as a member,Japan Ditches China In Multi-Billion Dollar Coronavirus Shakeout,The UK's former chief scientific adviser says Boris Johnson's slow response to the coronavirus pandemic cost lives,"Putting Trump's Name on Stimulus Checks Is 'Abuse of Government Resources,' Says President of IRS Managers Association",'The world needs WHO': Bill Gates slammed Trump for halting the $400 million in US funding for the World Health Organisation in the middle of a pandemic,China to ban online gaming and chatting with foreigners outside Great Firewall
106,2020-04-16,"Brazilian President Bolsonaro Fires Health Minister Who Refused To Downplay Pandemic | “Brazil is the only country in the world where the Minister of Health will fall for having decided to fight the Coronavirus,” a leftist politician said.",Ireland quadruples contribution to WHO,"After banning Animal Crossing, China to begin censoring online gaming by isolating Chinese players from world and requiring real-name logins",Supermarket manager's blunt reply to toilet paper hoarder wanting refund: The manager ripped into a stockpiler who tried to get a refund on almost 5000 rolls of toilet paper he couldn’t sell online.,"Amazon has suspended 6,000 seller accounts globally for coronavirus price gouging","'I will not do a Trump': Chief Minister of N.T. in Australia cancels Territory Day, defies calls to relax restrictions",British Telecom boss reveals 39 engineers attacked and 33 masts damaged over 5G coronavirus conspiracy theories,"Japan losing patience with government over COVID-19 response: Prime Minister Abe has been accused by critics of prioritizing the economy and the Olympic Games over the well-being of the Japanese public. As his approval rating falls, the number of COVID-19 cases are increasing",Taiwan invents 1-hour coronavirus test kit with 90% accuracy,Vatican censors video of Pope Francis joking Scotch is ‘the real holy water’,Canadian border restrictions with U.S. will remain for a long time: Trudeau,France says Trump has agreed to a global ceasefire during the coronavirus pandemic and Putin will sign up as well,Facebook to tell millions of users they’ve seen ‘fake news’ about COVID-19,Israeli police raided a coronavirus testing clinic in the East Jerusalem Palestinian neighborhood of Silwan and arrested its organizers on Tuesday night because the clinic was operated in collaboration with the Palestinian Authority,Gates Foundation to give $150 million more to combat COVID-19 globally,Alarms ring as Greenland ice loss causes 40% of 2019 sea level rise,Former North Korean ambassador to the UK who defected in 2016 has won a seat in the South Korean National Assembly - marking the first time a defector has been chosen directly by South Korean voters as their representative.,"Britain cannot go back to 'business as usual' with China after end of coronavirus, Foreign Secretary Raab warns","The Japanese government has decided on a cash handout of 100,000 yen ($930) for every citizen, regardless of income, to lessen the economic blow from the new coronavirus.",China may have conducted low-level nuclear test blasts,China has been warned by the UK that it cannot return to 'business as usual' with the world after the coronavirus pandemic,"Drew Pavlou, student who criticizes the Communist Party of China, faces school disciplinary hearings",Angela Merkel draws on science background in Covid-19 explainer - German chancellor excels in describing epidemiological basis of lockdown exit strategy,"UK Public want radical response to climate change with same urgency as coronavirus, poll finds - Environmentalists say politicians have not yet caught up with fast changing public opinion",The U.S. Has Deported Many COVID-19-Positive Migrants To Guatemala
